epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9245283007621765,9.999999747378752e-06,0.1670740693807602,0.9117646813392639,0.2650490403175354
1,0.9308176040649414,9.999999747378752e-06,0.15769755840301514,0.8823529481887817,0.30657872557640076
2,0.9748427867889404,9.999999747378752e-06,0.1026247888803482,0.8823529481887817,0.3126148283481598
3,0.9496855139732361,9.999999747378752e-06,0.18209673464298248,0.8823529481887817,0.27530428767204285
4,0.955974817276001,9.999999747378752e-06,0.11413046717643738,0.8529411554336548,0.28908416628837585
5,0.955974817276001,4.999999873689376e-06,0.13221946358680725,0.9117646813392639,0.26251813769340515
6,0.9496855139732361,4.999999873689376e-06,0.13624083995819092,0.9117646813392639,0.2511017322540283
7,0.955974817276001,4.999999873689376e-06,0.12826383113861084,0.8823529481887817,0.27755048871040344
8,0.9056603908538818,4.999999873689376e-06,0.17387913167476654,0.8529411554336548,0.2878173291683197
9,0.9371069073677063,4.999999873689376e-06,0.14388883113861084,0.8529411554336548,0.2975862920284271
10,0.9622641801834106,4.999999873689376e-06,0.13358481228351593,0.9117646813392639,0.2789943218231201
11,0.9748427867889404,2.499999936844688e-06,0.11051162332296371,0.8823529481887817,0.2748911380767822
12,0.9433962106704712,2.499999936844688e-06,0.13078483939170837,0.8823529481887817,0.26652660965919495
13,0.9685534834861755,2.499999936844688e-06,0.12362322956323624,0.9117646813392639,0.2534217834472656
14,0.9622641801834106,2.499999936844688e-06,0.12538786232471466,0.8823529481887817,0.2616358697414398
