epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5094339847564697,0.0010000000474974513,1.358320951461792,0.6470588445663452,0.9189842939376831
1,0.698113203048706,0.0010000000474974513,0.6851040720939636,0.7352941036224365,0.5404178500175476
2,0.8301886916160583,0.0010000000474974513,0.37623023986816406,0.7941176295280457,0.4643094539642334
3,0.8679245114326477,0.0010000000474974513,0.3628474771976471,0.7058823704719543,0.5893404483795166
4,0.8553459048271179,0.0010000000474974513,0.3691433370113373,0.7647058963775635,0.5545538067817688
5,0.8553459048271179,0.0010000000474974513,0.31691116094589233,0.8529411554336548,0.4008445143699646
6,0.9056603908538818,0.0010000000474974513,0.25375789403915405,0.7941176295280457,0.48186761140823364
7,0.893081784248352,0.0010000000474974513,0.2641074061393738,0.7647058963775635,0.49535784125328064
8,0.9056603908538818,0.0010000000474974513,0.25376197695732117,0.8823529481887817,0.35194939374923706
9,0.8679245114326477,0.0010000000474974513,0.27558156847953796,0.8823529481887817,0.3074646592140198
10,0.9245283007621765,0.0010000000474974513,0.2158103734254837,0.8529411554336548,0.3423059582710266
11,0.9308176040649414,0.0010000000474974513,0.2077978104352951,0.8823529481887817,0.3002590537071228
12,0.8993710875511169,0.0010000000474974513,0.21426288783550262,0.8823529481887817,0.29253724217414856
13,0.9119496941566467,0.0010000000474974513,0.2000199258327484,0.8823529481887817,0.3394595980644226
14,0.9496855139732361,0.0010000000474974513,0.17021378874778748,0.8235294222831726,0.3277722895145416
15,0.9245283007621765,0.0010000000474974513,0.18153223395347595,0.9117646813392639,0.253941148519516
16,0.9371069073677063,0.0010000000474974513,0.21080560982227325,0.9117646813392639,0.2487359344959259
17,0.9371069073677063,0.0010000000474974513,0.2000921666622162,0.8235294222831726,0.4442504048347473
18,0.9433962106704712,0.0010000000474974513,0.1567171961069107,0.8529411554336548,0.3317221701145172
19,0.9496855139732361,0.0010000000474974513,0.1726478934288025,0.8823529481887817,0.27148017287254333
20,0.955974817276001,0.0010000000474974513,0.19844309985637665,0.8823529481887817,0.27365341782569885
21,0.9433962106704712,0.0005000000237487257,0.15213553607463837,0.8823529481887817,0.30026450753211975
22,0.9685534834861755,0.0005000000237487257,0.12303749471902847,0.8823529481887817,0.3063122034072876
23,0.955974817276001,0.0005000000237487257,0.1322604864835739,0.8823529481887817,0.2802453339099884
24,0.9433962106704712,0.0005000000237487257,0.15543235838413239,0.8823529481887817,0.25664085149765015
