epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6540880799293518,0.0010000000474974513,0.7073624730110168,0.6176470518112183,0.7042688727378845
1,0.7547169923782349,0.0010000000474974513,0.5537213087081909,0.6176470518112183,0.696841299533844
2,0.7106918096542358,0.0010000000474974513,0.588821530342102,0.6176470518112183,0.6901414394378662
3,0.7610062956809998,0.0010000000474974513,0.5412720441818237,0.6176470518112183,0.6810305118560791
4,0.7735849022865295,0.0010000000474974513,0.5219029188156128,0.6176470518112183,0.6780317425727844
5,0.7861635088920593,0.0010000000474974513,0.5028407573699951,0.6176470518112183,0.6803803443908691
6,0.74842768907547,0.0010000000474974513,0.5425844192504883,0.6176470518112183,0.6864714622497559
7,0.8301886916160583,0.0010000000474974513,0.46609553694725037,0.6176470518112183,0.7049843668937683
8,0.7735849022865295,0.0010000000474974513,0.52266925573349,0.6176470518112183,0.7272782921791077
9,0.7735849022865295,0.0005000000237487257,0.4815545678138733,0.6176470518112183,0.7395281791687012
10,0.7861635088920593,0.0005000000237487257,0.5095147490501404,0.6176470518112183,0.7450880408287048
11,0.7924528121948242,0.0005000000237487257,0.4976668357849121,0.6176470518112183,0.7591444253921509
12,0.8176100850105286,0.0005000000237487257,0.48821091651916504,0.6176470518112183,0.768771767616272
